brand_id,normalised_brand,brand_match_key,supplier_item_count,lz_rows,top_or_super_rows,high_priority_rows,medium_priority_rows
BRAND-ED710736B9,Armani,ARMANI,74,19,9,0,28
BRAND-96930F2A0E,Louis Vuitton,LOUISVUITTON,74,20,29,0,43
BRAND-975BBF4210,Dior,DIOR,72,17,16,2,31
BRAND-24EB9C935D,Singles Notes,SINGLESNOTES,70,0,9,3,67
BRAND-BD480C9570,Tomford,TOMFORD,63,25,17,0,40
BRAND-D084EE0AB3,Kilian,KILIAN,57,35,9,1,40
BRAND-81685B353E,Yves Saint Laurent,YVESSAINTLAURENT,55,13,12,0,27
BRAND-6C8E7D54E9,Amouage,AMOUAGE,53,14,6,0,20
BRAND-0EA3594A07,Creed,CREED,52,9,18,1,27
BRAND-6E10C7A8AD,Dolce & Gabbana,DOLCEGABBANA,52,14,2,0,16
BRAND-738A858345,Paco Rabanne,PACORABANNE,51,11,6,0,19
BRAND-174569033F,Xerjoff,XERJOFF,51,22,8,2,27
BRAND-7B3A43B6B8,Chanel,CHANEL,47,18,12,1,29
BRAND-D7B85EB850,Bvlgari,BVLGARI,41,6,2,0,7
BRAND-9635C85333,Carolina Herrera,CAROLINAHERRERA,40,5,4,0,9
BRAND-5A16280F3A,Gucci,GUCCI,38,7,7,0,15
BRAND-E13E0554F5,Creation,CREATION,36,24,1,0,25
BRAND-D9A72033C0,Guerlain,GUERLAIN,36,11,2,0,14
BRAND-42DBC00548,Montale,MONTALE,36,15,3,0,18
BRAND-D77A29F133,Byredo,BYREDO,34,12,5,9,15
BRAND-5CC71497E2,Musk,MUSK,34,16,0,0,34
BRAND-BA1B057468,Jean Paul,JEANPAUL,32,2,10,0,13
BRAND-19791857E5,Tiziana Terenzi,TIZIANATERENZI,31,22,4,0,24
BRAND-C1CC4473A2,Ajmal,AJMAL,29,3,3,0,6
BRAND-07E9DD3340,Victoria Secret,VICTORIASECRET,29,10,2,0,12
BRAND-470121A89C,Hugo Boss,HUGOBOSS,28,7,1,0,10
BRAND-FB4D2DE37B,Kayali,KAYALI,28,0,2,0,2
BRAND-8071B4B913,Diffuser Oil,DIFFUSEROIL,27,0,0,0,0
BRAND-442D22D4E9,Ex Nihilo,EXNIHILO,27,17,2,0,18
BRAND-7E6DD68022,Rasasi,RASASI,27,0,1,0,1
BRAND-807D3DF87B,Lancom,LANCOM,26,2,4,0,8
BRAND-E76D141F2B,Maison Francis Kurkdjian,MAISONFRANCISKURKDJIAN,26,10,5,1,15
BRAND-7571FE0C43,Versace,VERSACE,26,5,3,0,8
BRAND-D3D233047E,Givenchy,GIVENCHY,25,5,1,0,6
BRAND-A4976D4321,Le Labo,LELABO,25,14,3,0,16
BRAND-4B95D6FC91,Gissah,GISSAH,24,1,5,0,6
BRAND-73D6DA9561,Roja,ROJA,24,12,3,0,15
BRAND-DEFE48F6AB,Mancera,MANCERA,23,6,2,0,7
BRAND-AFE5150A36,Nishane,NISHANE,22,1,2,0,3
BRAND-B1EDD812B7,Narciso,NARCISO,20,2,2,0,4
BRAND-757161E240,Valentino,VALENTINO,20,0,0,0,0
BRAND-95CAF95D6C,Bakhoor,BAKHOOR,19,1,0,0,1
BRAND-DF65725FDA,Fruity,FRUITY,19,1,2,0,3
BRAND-2750A7A001,Jo Malone,JOMALONE,19,11,0,0,11
BRAND-0E5207B2D9,Lattafa,LATTAFA,19,1,4,0,5
BRAND-1FD79B9555,Memo,MEMO,19,13,1,0,14
BRAND-FA345F8DE3,Swiss Arabian,SWISSARABIAN,19,2,1,1,3
BRAND-5209303003,Escentric Molecules,ESCENTRICMOLECULES,18,9,6,2,12
BRAND-14917346DA,Nasomatto,NASOMATTO,18,10,6,0,15
BRAND-C4E097E616,Sospiro,SOSPIRO,18,12,2,0,13
BRAND-8705D79EBD,Bond No 9,BONDNO9,17,5,0,0,5
BRAND-ADB469A6A7,Calvin Klein,CALVINKLEIN,17,1,1,0,2
BRAND-190ED7039A,Parfums De,PARFUMSDE,17,12,3,0,15
BRAND-7226045C6D,Borntostandout,BORNTOSTANDOUT,16,0,0,0,0
BRAND-D38B0AFF8E,Frederic Malle,FREDERICMALLE,16,9,0,0,9
BRAND-1A77B10B37,Parfums De Marly,PARFUMSDEMARLY,16,0,7,1,7
BRAND-BD91FF40A3,Arabian OUD,ARABIANOUD,15,1,1,0,2
BRAND-42642D9A6E,Boadicea The,BOADICEATHE,15,4,4,1,8
BRAND-4B88DC3545,Escada,ESCADA,15,3,0,0,3
BRAND-431DCDA0CA,Lacoste,LACOSTE,15,4,0,2,4
BRAND-F4E78DE66A,Roberto Cavalli,ROBERTOCAVALLI,15,7,0,0,7
BRAND-07109C12A7,Roja Dove,ROJADOVE,15,2,3,0,4
BRAND-35EC2602FD,Tom Ford,TOMFORD,15,4,3,0,8
BRAND-77EF347E21,Burberry,BURBERRY,14,3,3,0,6
BRAND-E1A89BF9AD,Davidoff,DAVIDOFF,14,5,1,0,6
BRAND-55AD0B28AB,Clive Christian,CLIVECHRISTIAN,13,0,4,0,4
BRAND-BB12C86CE3,Haramain,HARAMAIN,13,2,2,0,4
BRAND-F37FEC58AC,Initio Parfums Prives,INITIOPARFUMSPRIVES,13,7,5,0,12
BRAND-D029996998,Maison Crivelli,MAISONCRIVELLI,13,0,3,0,3
BRAND-305FC6C97B,Perfume Colour,PERFUMECOLOUR,13,0,0,0,0
BRAND-8FB4DD7F10,Thierry Mugler,THIERRYMUGLER,13,1,0,0,1
BRAND-9F3541BE28,Kenzo,KENZO,12,2,0,0,2
BRAND-4E40A33028,Orto Parisi,ORTOPARISI,12,4,4,0,7
BRAND-BB86C0630D,Penhaligon's,PENHALIGONS,12,5,2,0,7
BRAND-E62C984B85,Prada,PRADA,12,1,3,0,4
BRAND-06105885E6,Sol De Janerio,SOLDEJANERIO,12,0,0,0,0
BRAND-7F82C18C3C,Stephane Hum Lucas,STEPHANEHUMLUCAS,12,2,2,0,4
BRAND-48142EE987,Thomas Kosmala,THOMASKOSMALA,12,8,1,0,8
BRAND-AD5BC0A41E,Azzaro,AZZARO,11,0,3,0,3
BRAND-40C5652E1E,Hind Al OUD,HINDALOUD,11,3,2,0,5
BRAND-3B1E192576,Ahmed Al,AHMEDAL,10,0,2,0,2
BRAND-3E06620B9E,Hermes,HERMES,10,3,3,0,6
BRAND-43A2228F7A,Hfc,HFC,10,5,0,0,5
BRAND-B1F817C628,Jo Malone London,JOMALONELONDON,10,3,2,0,5
BRAND-30C1A7DDFF,Ormonde Jayne,ORMONDEJAYNE,10,5,1,0,5
BRAND-5A3AB329F0,Penhaligons,PENHALIGONS,10,0,0,0,0
BRAND-F7C6A86F9D,Thameen,THAMEEN,10,9,2,0,9
BRAND-758BF22200,Bdk Parfums,BDKPARFUMS,9,2,4,0,6
BRAND-955ED23939,Jimmy Choo,JIMMYCHOO,9,0,0,0,0
BRAND-AABEC58DE3,Maison Margiela,MAISONMARGIELA,9,0,0,0,0
BRAND-665CFF8896,Matiere Premiere,MATIEREPREMIERE,9,0,2,0,2
BRAND-36C43102E4,Victor & Rolf,VICTORROLF,9,0,2,0,2
BRAND-51C329B835,Cartier,CARTIER,8,3,0,0,3
BRAND-B066A7082F,Dunhill,DUNHILL,8,1,2,0,4
BRAND-9601387BB0,Juliette Has A Gun,JULIETTEHASAGUN,8,2,1,0,3
BRAND-B749989475,Mind Games,MINDGAMES,8,0,1,0,1
BRAND-1C446BF956,Perfume Compounds,PERFUMECOMPOUNDS,8,0,1,2,6
BRAND-71716355C3,Ralph Lauren,RALPHLAUREN,8,1,0,0,1
BRAND-AA4A9F786A,Antonio,ANTONIO,7,7,0,0,7
BRAND-A30DA81496,Escentric,ESCENTRIC,7,3,0,0,3
BRAND-C64E366E11,Initio Parfums Prive,INITIOPARFUMSPRIVE,7,1,3,0,4
BRAND-C459085E24,Moschino,MOSCHINO,7,4,0,0,4
BRAND-17E580F0D6,OUD,OUD,7,1,0,0,7
BRAND-8B64DC7BE4,Parfumes De,PARFUMESDE,7,2,4,0,6
BRAND-8EB64E8771,Reef Perfumes,REEFPERFUMES,7,0,0,1,0
BRAND-420359E47E,Shaik,SHAIK,7,6,1,0,7
BRAND-F302BBE0F6,Zarko Perfume,ZARKOPERFUME,7,6,1,0,7
BRAND-ACA5D2F8DB,Afnan,AFNAN,6,0,0,0,0
BRAND-3330DAB005,Al Jazeera,ALJAZEERA,6,6,2,0,6
BRAND-1BA2BB51F1,Alexandre. J,ALEXANDREJ,6,3,0,0,3
BRAND-6EEEE0B1C1,Anfasic Dokhoon,ANFASICDOKHOON,6,1,0,0,1
BRAND-0B6AB891CC,Attar Collection,ATTARCOLLECTION,6,6,0,0,6
BRAND-B6E6949B3D,Britney Spears,BRITNEYSPEARS,6,1,0,0,1
BRAND-12AFE97AF2,Chopard,CHOPARD,6,0,1,0,1
BRAND-8E861B13E3,Fragrance Du,FRAGRANCEDU,6,0,0,0,0
BRAND-79C1124C78,Franck Olivier,FRANCKOLIVIER,6,5,0,0,5
BRAND-EACFD263B8,Giardini Di,GIARDINIDI,6,0,1,0,1
BRAND-4F93D6078B,Kajal,KAJAL,6,0,2,1,2
BRAND-8140258900,Lorenzo,LORENZO,6,0,0,0,0
BRAND-8975A80439,Marc Antoine,MARCANTOINE,6,2,2,0,3
BRAND-E50FF257BE,Memo Paris,MEMOPARIS,6,0,0,0,0
BRAND-7AB65F5B59,Mont Blanc,MONTBLANC,6,1,1,0,2
BRAND-13A3E7F351,Nabeel,NABEEL,6,1,1,0,2
BRAND-B892D69B04,Nina Ricci,NINARICCI,6,0,1,0,1
BRAND-92629CC354,Abdul Samad Al,ABDULSAMADAL,5,0,0,0,0
BRAND-84AFC5A889,Blends Of Love,BLENDSOFLOVE,5,1,0,0,1
BRAND-5115BC0B8D,Cassamorati,CASSAMORATI,5,5,0,0,5
BRAND-34D3F7F6A4,Chloe,CHLOE,5,0,1,0,1
BRAND-0C7F97C96A,Diptique,DIPTIQUE,5,2,0,0,2
BRAND-B7219BDA6A,Egyptian,EGYPTIAN,5,0,0,0,0
BRAND-2CDE93EAD9,Elie Saab,ELIESAAB,5,1,0,0,1
BRAND-1ADA0E0EC3,Fugazzi,FUGAZZI,5,0,0,0,0
BRAND-4577561615,Goldfield & Banks,GOLDFIELDBANKS,5,0,0,0,0
BRAND-21E9BFC06E,Hormone Paris,HORMONEPARIS,5,0,0,0,0
BRAND-135E3F588E,Lalique,LALIQUE,5,0,1,0,1
BRAND-A6979334BB,Lanvin,LANVIN,5,4,0,0,4
BRAND-791FFCEF6E,Marc-antoine,MARCANTOINE,5,4,0,0,4
BRAND-9E257D4115,Mukhallat,MUKHALLAT,5,3,0,0,3
BRAND-24F16414DE,Rehab,REHAB,5,0,0,0,0
BRAND-EEB92D5A46,Rochas,ROCHAS,5,2,0,0,2
BRAND-5BEDD9274D,Van Cleef &,VANCLEEF,5,5,0,0,5
BRAND-F9FCBA7792,Widian,WIDIAN,5,0,0,0,0
BRAND-79DECBF929,Zielinski & Rozen,ZIELINSKIROZEN,5,5,0,0,5
BRAND-A9B00B20A2,AF,AF,4,2,0,0,2
BRAND-2CEF7A056B,Acqua Di Parma,ACQUADIPARMA,4,1,0,0,1
BRAND-F0B2DDB24B,Clinique Happy,CLINIQUEHAPPY,4,1,0,0,1
BRAND-4D72B50416,Gisada,GISADA,4,0,1,0,1
BRAND-152988730C,Issey Miyake,ISSEYMIYAKE,4,2,0,0,2
BRAND-185B91403C,Kayali Fragrances,KAYALIFRAGRANCES,4,0,0,0,0
BRAND-DA01AFCD0E,Maison F. Kurkdjia,MAISONFKURKDJIA,4,1,3,0,4
BRAND-CE6EFA712C,Marc Jacobs,MARCJACOBS,4,0,0,0,1
BRAND-3F84AD991B,Van Cleef & Arpels,VANCLEEFARPELS,4,1,0,0,1
BRAND-D460A273E6,White Amber,WHITEAMBER,4,1,1,0,2
BRAND-708D92BE64,Abercrombie & Fitch,ABERCROMBIEFITCH,3,0,0,0,0
BRAND-B1AC4D294E,Al Teeb,ALTEEB,3,3,0,0,3
BRAND-6B9ECCDCC8,Anna Sui,ANNASUI,3,3,0,0,3
BRAND-8987F033AA,Ariana Grande,ARIANAGRANDE,3,1,0,0,1
BRAND-DD52B79E22,Armani Prive,ARMANIPRIVE,3,0,1,0,1
BRAND-3BAFC59B4C,Bath & Body,BATHBODY,3,2,0,0,2
BRAND-97B081D0DF,Bottega Veneta,BOTTEGAVENETA,3,0,0,0,0
BRAND-EFB60B155E,Diesel,DIESEL,3,0,0,0,0
BRAND-7876479661,Diptyque,DIPTYQUE,3,0,1,0,1
BRAND-B4183CAEFB,Essential,ESSENTIAL,3,0,0,0,0
BRAND-0418CCE07C,Fragrance One,FRAGRANCEONE,3,0,1,0,1
BRAND-432F1E4CBB,Jaguar,JAGUAR,3,1,0,0,1
BRAND-37EB97B4EA,Jean Paul Gaultier,JEANPAULGAULTIER,3,0,0,0,1
BRAND-47629D27AF,Liquides Imaginaires,LIQUIDESIMAGINAIRES,3,0,0,0,0
BRAND-AF896B16E3,Mukallat,MUKALLAT,3,0,0,0,0
BRAND-EDAC81E9D5,Oman Luxury,OMANLUXURY,3,0,0,0,0
BRAND-7F2974F3A8,Phlur,PHLUR,3,0,0,0,0
BRAND-68D25F4276,Powdery,POWDERY,3,3,0,0,3
BRAND-F41BD29F02,Ralph Lauran,RALPHLAURAN,3,0,0,0,0
BRAND-9380AEAE6A,Rosendo Mateu,ROSENDOMATEU,3,0,0,0,0
BRAND-9B0CF1D90D,Salvatore,SALVATORE,3,2,0,0,2
BRAND-044C48600F,The Beautiful M.,THEBEAUTIFULM,3,3,0,0,3
BRAND-1613B4EDC4,The Body Shop,THEBODYSHOP,3,1,0,0,1
BRAND-DC16423F70,Uniquere Luxury,UNIQUERELUXURY,3,1,0,0,1
BRAND-AD66DBA5C9,Vilhelm,VILHELM,3,1,1,0,2
BRAND-FC9C355CAF,Zafran,ZAFRAN,3,0,1,0,3
BRAND-3E08ADEBE5,Zara,ZARA,3,1,0,0,1
BRAND-2819C250DA,Akro,AKRO,2,0,0,0,0
BRAND-1792157B88,Antonio Banderas,ANTONIOBANDERAS,2,0,1,0,1
BRAND-4FE78CB84E,Armaf,ARMAF,2,0,0,0,0
BRAND-6A31104790,Armand,ARMAND,2,1,1,0,2
BRAND-826C59929A,Atelier Colonge,ATELIERCOLONGE,2,0,0,0,0
BRAND-D597A80C9D,Attar Colllection,ATTARCOLLLECTION,2,0,1,0,1
BRAND-3FD5F5CC2D,Atyab Al,ATYABAL,2,0,0,0,0
BRAND-B75800C2FE,Bohoboco,BOHOBOCO,2,0,0,0,0
BRAND-0A1D45105B,Boucheron,BOUCHERON,2,2,0,0,2
BRAND-BA09FE8040,Cacharel,CACHAREL,2,0,0,0,0
BRAND-76BCF0AEA5,Carner,CARNER,2,0,0,0,0
BRAND-B32C9AD353,Coach,COACH,2,0,0,0,0
BRAND-F2CF5C2D82,Cologne,COLOGNE,2,0,0,0,0
BRAND-593B3F3E00,Danat Al Duniya,DANATALDUNIYA,2,0,1,0,1
BRAND-D03B082339,Donna Karan,DONNAKARAN,2,0,0,0,0
BRAND-5494AA2C03,Dries Van Noten,DRIESVANNOTEN,2,0,0,0,0
BRAND-01880FEA35,Dsquared,DSQUARED,2,2,0,0,2
BRAND-0F28F17BF9,Etat Libre D Orange,ETATLIBREDORANGE,2,0,0,0,0
BRAND-A90A58D20E,Fidji,FIDJI,2,0,1,0,1
BRAND-14FE9BC445,Fixative,FIXATIVE,2,0,1,2,0
BRAND-A6001900F8,Franck Boclet,FRANCKBOCLET,2,2,0,0,2
BRAND-FE9B33B4F2,Genym,GENYM,2,0,1,0,1
BRAND-701BAC248B,Glossier,GLOSSIER,2,0,0,0,0
BRAND-1E4A2E951F,Golden Dust,GOLDENDUST,2,1,1,0,2
BRAND-0D960A8825,Gritti,GRITTI,2,1,0,0,1
BRAND-4D790C4FD3,Ibrahim Al,IBRAHIMAL,2,0,0,0,0
BRAND-7DFDB11905,Jerobam,JEROBAM,2,0,0,0,0
BRAND-A6FF9FE3C7,John Varvatos,JOHNVARVATOS,2,0,0,0,0
BRAND-22B64AC6A2,Joop,JOOP,2,1,0,0,2
BRAND-20F81E9520,Just Cavalli,JUSTCAVALLI,2,0,0,0,0
BRAND-2CC31223C9,Killan,KILLAN,2,2,0,0,2
BRAND-6AFF9293C0,Lancome,LANCOME,2,1,0,0,1
BRAND-8ADFCB7CFA,Laverne,LAVERNE,2,0,1,0,1
BRAND-72A51428A3,Lengling,LENGLING,2,1,0,0,1
BRAND-06CE5BD258,Luban,LUBAN,2,1,0,0,1
BRAND-27284ABAD9,Lush,LUSH,2,0,0,0,0
BRAND-165F97B4DF,Maison F. Kurkdija.,MAISONFKURKDIJA,2,2,1,0,2
BRAND-607A2226A8,Maison Mataha,MAISONMATAHA,2,0,0,0,0
BRAND-559A7770BA,Maryam,MARYAM,2,1,1,0,2
BRAND-92242CBBD9,Michael Kors,MICHAELKORS,2,0,0,0,0
BRAND-0AF3016A41,Montblanc,MONTBLANC,2,0,0,0,0
BRAND-8097298F56,Musk Al Tahara,MUSKALTAHARA,2,2,0,0,2
BRAND-AB36C472D0,Ormaie,ORMAIE,2,1,0,0,1
BRAND-8C08BFB5D4,Paris Hilton,PARISHILTON,2,1,1,0,2
BRAND-E7C243F38C,Patchouli,PATCHOULI,2,0,1,0,1
BRAND-5A6D55321A,Philipp Plein,PHILIPPPLEIN,2,1,0,0,1
BRAND-74EB76D1A3,Ramon Monegal,RAMONMONEGAL,2,1,0,0,1
BRAND-7B18078B38,Rituals,RITUALS,2,2,0,0,2
BRAND-841EC44EF7,Sandaliya,SANDALIYA,2,0,1,0,1
BRAND-785827ECFA,Sheikha,SHEIKHA,2,1,0,0,1
BRAND-210E5DFDD3,Stefano Ricci,STEFANORICCI,2,0,0,0,0
BRAND-93407E7462,Tauer Perfumes,TAUERPERFUMES,2,0,1,0,1
BRAND-A4ADB704BC,Tea Rose,TEAROSE,2,0,0,0,0
BRAND-339F5CECF7,The House Of OUD,THEHOUSEOFOUD,2,2,0,0,2
BRAND-74371723D0,The Merchant Of,THEMERCHANTOF,2,1,0,0,1
BRAND-4FEF157E4F,The Sprit Of Dubai,THESPRITOFDUBAI,2,0,2,0,2
BRAND-E5810E7DBA,Tomford-f,TOMFORDF,2,0,0,0,0
BRAND-03A9B3D3CD,Trussardi,TRUSSARDI,2,2,0,0,2
BRAND-BF8549F4EA,Vertus,VERTUS,2,2,0,0,2
BRAND-31D20079CB,Ward,WARD,2,0,0,0,0
BRAND-010C0BBB96,Zadig & Voltaire,ZADIGVOLTAIRE,2,2,0,0,2
BRAND-8ACC5D4FE7,Zegna,ZEGNA,2,0,0,0,0
BRAND-34E87F8D1E,Al Ameeri,ALAMEERI,1,0,0,0,0
BRAND-1D404B7522,Al Majed OUD,ALMAJEDOUD,1,0,0,0,0
BRAND-E5CAF754AF,Alexandre J,ALEXANDREJ,1,1,0,0,1
BRAND-570A20CF7A,Angel Shlesser,ANGELSHLESSER,1,1,0,0,1
BRAND-4235CBC08D,Aquolina,AQUOLINA,1,1,0,0,1
BRAND-B3825B0A5F,Arabiyat OUD,ARABIYATOUD,1,0,0,0,0
BRAND-62A3487D14,Ard Al Zaafran,ARDALZAAFRAN,1,0,0,0,0
BRAND-FE23151DA8,Ard Al Zafran,ARDALZAFRAN,1,0,0,0,0
BRAND-785BCB8EE4,Argos,ARGOS,1,0,0,0,0
BRAND-D63BAF147C,Ateeq Aloud,ATEEQALOUD,1,1,0,0,1
BRAND-AB3793934D,Atelier Cologne,ATELIERCOLOGNE,1,0,0,0,0
BRAND-0B372E99AB,Atelier Rebul,ATELIERREBUL,1,1,0,0,1
BRAND-835099A87E,Atkinsons,ATKINSONS,1,0,1,0,1
BRAND-6DF899168C,Attar Al Hask,ATTARALHASK,1,0,0,0,0
BRAND-70952E23D0,Atyab Al Sheikh,ATYABALSHEIKH,1,0,0,0,0
BRAND-174618C5F5,Avon,AVON,1,1,0,0,1
BRAND-7ED611DE7D,Axe,AXE,1,0,0,0,0
BRAND-7A4B434333,Bahrara,BAHRARA,1,0,0,0,0
BRAND-0EEBA3DB8B,Bakoor,BAKOOR,1,1,0,0,1
BRAND-1DFA687291,Bath And Body Works,BATHANDBODYWORKS,1,1,0,0,1
BRAND-D3D52757A1,Bergamot,BERGAMOT,1,0,0,0,0
BRAND-9B5849C2F0,Bill Blass,BILLBLASS,1,1,0,0,1
BRAND-1D4FE1CCC2,Billie Elish,BILLIEELISH,1,0,0,0,0
BRAND-44B481FEA9,Bint Al Arab,BINTALARAB,1,0,0,0,0
BRAND-9CC35F223F,Bogart,BOGART,1,0,0,0,0
BRAND-EEB0EC2647,Canali,CANALI,1,1,0,0,1
BRAND-728BC0CCD7,Caron,CARON,1,0,0,0,0
BRAND-47A9AD8E7E,Cedarwood Super,CEDARWOODSUPER,1,0,1,0,1
BRAND-4AF11D5711,Celine,CELINE,1,0,0,0,0
BRAND-700BD8DB98,Christian Louboutin,CHRISTIANLOUBOUTIN,1,1,0,0,1
BRAND-C90B4EEE52,Cilinque,CILINQUE,1,1,0,0,1
BRAND-D6A383D2A7,Coco OUD,COCOOUD,1,0,0,0,0
