match_candidate_id,supplier_item_id,candidate_brand,candidate_fragrance_name,candidate_concentration,candidate_source_type,candidate_source_reference,match_method,match_confidence,match_notes,review_status,licensing_risk,created_at_utc
MATCH-20260426-00001,SUP-20260426-00001,Al Majed OUD,Elbrince,,supplier_source,250035,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00002,SUP-20260426-00002,Akro,Crush,,supplier_source,250397,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00003,SUP-20260426-00003,Akro,Bake,,supplier_source,250167,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00004,SUP-20260426-00004,Abdul Samad Al,Furusiyya-pink Incense,,supplier_source,300001,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00005,SUP-20260426-00005,Abdul Samad Al,Khashab Al OUD,,supplier_source,300002,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00006,SUP-20260426-00006,Abdul Samad Al,Ruh Al OUD,,supplier_source,300003,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00007,SUP-20260426-00007,Abdul Samad Al,Safari Extreme,,supplier_source,240231,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00008,SUP-20260426-00008,Abdul Samad Al,Charme D' Orient,,supplier_source,300004,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00009,SUP-20260426-00009,Abercrombie & Fitch,Fierce,,supplier_source,240903,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00010,SUP-20260426-00010,Abercrombie & Fitch,First Instinct Blue,,supplier_source,300005,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00011,SUP-20260426-00011,Abercrombie & Fitch,First Instinct For Her,,supplier_source,300006,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00012,SUP-20260426-00012,Acqua Di Parma,Colonia II Profumo,,supplier_source,250208,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00013,SUP-20260426-00013,Acqua Di Parma,Buongiorno,,supplier_source,250306,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00014,SUP-20260426-00014,Acqua Di Parma,OUD & Spice,,supplier_source,233551,supplier_name_normalisation,0.62,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
MATCH-20260426-00015,SUP-20260426-00015,Acqua Di Parma,OUD,,supplier_source,300007,supplier_name_normalisation,0.7,Initial candidate generated from supplier row only. Requires independent verification before approval.,needs_verification,low_supplier_source_only,2026-09-15T23:52:40+00:00
