supplier_item_id,import_batch_id,supplier_name,source_file,source_sheet,source_row_number,supplier_brand_raw,supplier_name_raw,supplier_ori_raw,supplier_cn_raw,supplier_code,quantity_raw,quantity_kg,price_aed,price_usd,normalised_brand,normalised_fragrance_name,normalised_cn_name,candidate_original_brand,candidate_original_name,supplier_clone_name,brand_match_key,fragrance_match_key,cn_match_key,variant_flags,status,review_status,review_priority,commercial_use_basis,source_type,can_promote_to_catalogue,data_quality_notes
SUP-20260426-00001,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,3,AL MAJED OUD,ELBRINCE,,ELBRINCE,250035,1.00KG,1.0,1000.0,273.0,Al Majed OUD,Elbrince,Elbrince,Al Majed OUD,Elbrince,,ALMAJEDOUD,ELBRINCE,ELBRINCE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00002,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,4,AKRO,CRUSH,,CRUSH,250397,1.00KG,1.0,700.0,191.0,Akro,Crush,Crush,Akro,Crush,,AKRO,CRUSH,CRUSH,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00003,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,5,AKRO,BAKE,,BAKE,250167,1.00KG,1.0,850.0,232.0,Akro,Bake,Bake,Akro,Bake,,AKRO,BAKE,BAKE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00004,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,6,ABDUL SAMAD AL,FURUSIYYA-PINK INCENSE,,FURUSIYYA-PINK INCENSE,300001,1.00KG,1.0,275.0,75.0,Abdul Samad Al,Furusiyya-pink Incense,Furusiyya-pink Incense,Abdul Samad Al,Furusiyya-pink Incense,,ABDULSAMADAL,FURUSIYYAPINKINCENSE,FURUSIYYAPINKINCENSE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00005,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,7,ABDUL SAMAD AL,KHASHAB AL OUD,,KHASHAB AL OUD,300002,1.00KG,1.0,385.0,105.0,Abdul Samad Al,Khashab Al OUD,Khashab Al OUD,Abdul Samad Al,Khashab Al OUD,,ABDULSAMADAL,KHASHABALOUD,KHASHABALOUD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00006,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,8,ABDUL SAMAD AL,RUH AL OUD,,RUH AL OUD,300003,1.00KG,1.0,1100.0,301.0,Abdul Samad Al,Ruh Al OUD,Ruh Al OUD,Abdul Samad Al,Ruh Al OUD,,ABDULSAMADAL,RUHALOUD,RUHALOUD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00007,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,9,ABDUL SAMAD AL,SAFARI EXTREME,,SAFARI EXTREME,240231,1.00KG,1.0,275.0,75.0,Abdul Samad Al,Safari Extreme,Safari Extreme,Abdul Samad Al,Safari Extreme,,ABDULSAMADAL,SAFARIEXTREME,SAFARIEXTREME,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00008,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,10,ABDUL SAMAD AL,CHARME D' ORIENT,,CHARME D' ORIENT,300004,1.00KG,1.0,330.0,90.0,Abdul Samad Al,Charme D' Orient,Charme D' Orient,Abdul Samad Al,Charme D' Orient,,ABDULSAMADAL,CHARMEDORIENT,CHARMEDORIENT,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00009,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,11,ABERCROMBIE & FITCH,FIERCE,,FIERCE,240903,1.00KG,1.0,1100.0,301.0,Abercrombie & Fitch,Fierce,Fierce,Abercrombie & Fitch,Fierce,,ABERCROMBIEFITCH,FIERCE,FIERCE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00010,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,12,ABERCROMBIE & FITCH,FIRST INSTINCT BLUE,,FIRST INSTINCT BLUE,300005,1.00KG,1.0,275.0,75.0,Abercrombie & Fitch,First Instinct Blue,First Instinct Blue,Abercrombie & Fitch,First Instinct Blue,,ABERCROMBIEFITCH,FIRSTINSTINCTBLUE,FIRSTINSTINCTBLUE,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00011,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,13,ABERCROMBIE & FITCH,FIRST INSTINCT FOR HER,,FIRST INSTINCT FOR HER,300006,1.00KG,1.0,275.0,75.0,Abercrombie & Fitch,First Instinct For Her,First Instinct For Her,Abercrombie & Fitch,First Instinct For Her,,ABERCROMBIEFITCH,FIRSTINSTINCTFORHER,FIRSTINSTINCTFORHER,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00012,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,14,ACQUA DI PARMA,COLONIA II PROFUMO,,COLONIA II PROFUMO,250208,1.00KG,1.0,585.0,160.0,Acqua Di Parma,Colonia II Profumo,Colonia II Profumo,Acqua Di Parma,Colonia II Profumo,,ACQUADIPARMA,COLONIAIIPROFUMO,COLONIAIIPROFUMO,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00013,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,15,ACQUA DI PARMA,BUONGIORNO,,BUONGIORNO,250306,1.00KG,1.0,600.0,164.0,Acqua Di Parma,Buongiorno,Buongiorno,Acqua Di Parma,Buongiorno,,ACQUADIPARMA,BUONGIORNO,BUONGIORNO,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
SUP-20260426-00014,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,16,ACQUA DI PARMA,OUD & SPICE,LZ,ITALY IN THE NIGHT,233551,1.00KG,1.0,700.0,191.0,Acqua Di Parma,OUD & Spice,Italy In The Night,Acqua Di Parma,OUD & Spice,Italy In The Night,ACQUADIPARMA,OUDSPICE,ITALYINTHENIGHT,lz_clone_name,supplier_imported,needs_verification,Medium,supplier_source,supplier_source,requires_review,LZ row: CN appears to be supplier clone/alternate name; verify against original fragrance before catalogue approval.
SUP-20260426-00015,supplier_20260426,Perfume Oil Price List 26.04.2026,PERFUME OIL PRICE LIST  26.04.2026 (1).xlsx,Table 1,17,ACQUA DI PARMA,OUD,,OUD,300007,1.00KG,1.0,275.0,75.0,Acqua Di Parma,OUD,OUD,Acqua Di Parma,OUD,,ACQUADIPARMA,OUD,OUD,,supplier_imported,needs_verification,Low,supplier_source,supplier_source,requires_review,
