BRAND,NAME,ORI,CN CODE,QTY,AED,USD
FATIMA,OUD,ACQUA DI PARMA / OUD,,1,475.00,130.00
FATIMA,COLONIA IL PROFUMO,ACQUA DI PARMA / COLONIA IL PROFUMO,,1,500.00,137.00
FATIMA,LEATHER,ACQUA DI PARMA / LEATHER,S-8942,1,800.00,218.00
FATIMA,BUONGIORNO AL BACIO,ACQUA DI PARMA / BUONGIORNO AL BACIO,PB901,1,1200.00,327.00
FATIMA,OUD & SPICE,ACQUA DI PARMA / OUD & SPICE,,1,800.00,218.00
FATIMA,BUONGIORNO,ACQUA DI PARMA / BUONGIORNO,S400122,1,700.00,191.00
FATIMA,HERSH LAHAB TOP,ALEZZ OUD / HERSH LAHAB TOP,S400545,1,1100.00,301.00
FATIMA,FURUSIYYA-PINK INCENSE,ABDUL SAMAD AL QURASHI / FURUSIYYA-PINK INCENSE,,1,475.00,130.00
FATIMA,KHASHAB AL OUD (TOP),ABDUL SAMAD AL QURASHI / KHASHAB AL OUD (TOP),,1,585.00,160.00
FATIMA,RUH AL OUD,ABDUL SAMAD AL QURASHI / RUH AL OUD,,1,1300.00,355.00
FATIMA,SAFARI EXTREME,ABDUL SAMAD AL QURASHI / SAFARI EXTREME,,1,475.00,130.00
FATIMA,CHARME D' ORIENT,ABDUL SAMAD AL QURASHI / CHARME D' ORIENT,,1,530.00,145.00
FATIMA,ANGEL SCHLESSER HOMME ORIENTAL EDITION,A SCHLESSER / ANGEL SCHLESSER HOMME ORIENTAL EDITION,,1,775.00,212.00
FATIMA,FIRST INSTINCT BLUE,ABERCROMBIE & FITCH / FIRST INSTINCT BLUE,,1,475.00,130.00
FATIMA,FIRST INSTINCT FOR HER,ABERCROMBIE & FITCH / FIRST INSTINCT FOR HER,,1,475.00,130.00
FATIMA,FIERCE,ABERCROMBIE & FITCH / FIERCE,,1,550.00,150.00
FATIMA,HIBISCUS PALM,AERIN / HIBISCUS PALM,,1,550.00,150.00
FATIMA,CRUSH,AKRO / CRUSH,S400116,1,630.00,172.00
FATIMA,GREEN TATERA,AF / GREEN TATERA,,1,420.00,115.00
FATIMA,MUSK TATERA,AF / MUSK TATERA,,1,420.00,115.00
FATIMA,FLOWER OXY,AF / FLOWER OXY,,1,475.00,130.00
FATIMA,CITRON OXY,AF / CITRON OXY,,1,475.00,130.00
FATIMA,TRIUMPH OF BACCHUS,ARGOS / TRIUMPH OF BACCHUS,S400435,1,800.00,218.00
FATIMA,BIRTH OF VENUS TOP,ARGOS / BIRTH OF VENUS TOP,IP44,1,1500.00,409.00
FATIMA,AFNAN 9 PM NIGHT OUT,AFNAN / AFNAN 9 PM NIGHT OUT,,1,1200.00,327.00
FATIMA,9PM REBEL,AFNAN / 9PM REBEL,S400196,1,660.00,180.00
FATIMA,9AM,AFNAN / 9AM,S400208,1,500.00,137.00
FATIMA,SUPERMACY SILVER,AFNAN / SUPERMACY SILVER,PB5967,1,650.00,177.00
FATIMA,9:00 PM,AFNAN / 9:00 PM,,1,475.00,130.00
FATIMA,ALIF LAYLA O LAYLA,AJMAL / ALIF LAYLA O LAYLA,,1,860.00,235.00
FATIMA,SONG OF OUD,AJMAL / SONG OF OUD,PB984,1,1050.00,286.00
FATIMA,AMBER AL OUD,AJMAL / AMBER AL OUD,,1,1520.00,415.00
FATIMA,AMBER MUSK,AJMAL / AMBER MUSK,,1,475.00,130.00
FATIMA,AMBER POIVRE,AJMAL / AMBER POIVRE,,1,475.00,130.00
FATIMA,AMBER SANTAL,AJMAL / AMBER SANTAL,,1,475.00,130.00
FATIMA,AMBER SUPREME,AJMAL / AMBER SUPREME,,1,590.00,161.00
FATIMA,AMBER WOOD TOP,AJMAL / AMBER WOOD TOP,S400364,1,1300.00,355.00
FATIMA,ARISTOCRAT,AJMAL / ARISTOCRAT,,1,530.00,145.00
FATIMA,AURUM,AJMAL / AURUM,,1,1300.00,355.00
FATIMA,CUIR MUSK,AJMAL / CUIR MUSK,,1,475.00,130.00
FATIMA,INCENCE WOOD (TOP),AJMAL / INCENCE WOOD (TOP),,1,1410.00,385.00
FATIMA,INCENSE WOOD (MEDIUM),AJMAL / INCENSE WOOD (MEDIUM),,1,530.00,145.00
FATIMA,MIZYAAN,AJMAL / MIZYAAN,,1,530.00,145.00
FATIMA,MUKHALLAT SHAMS,AJMAL / MUKHALLAT SHAMS,,1,475.00,130.00
FATIMA,MUSK SUPREME,AJMAL / MUSK SUPREME,,1,590.00,161.00
FATIMA,QAFIYA,AJMAL / QAFIYA,,1,510.00,139.00
FATIMA,SILK MUSK (TOP),AJMAL / SILK MUSK (TOP),MI4017,1,900.00,246.00
FATIMA,TANAASUQ (MEDIUM),AJMAL / TANAASUQ (MEDIUM),,1,475.00,130.00
FATIMA,MUSK REJALI TOP,AJMAL / MUSK REJALI TOP,,1,870.00,238.00
FATIMA,VIOLETTE MUSK,AJMAL / VIOLETTE MUSK,,1,475.00,130.00
FATIMA,WISAL (TOP),AJMAL / WISAL (TOP),,1,510.00,139.00
FATIMA,YOUNIQUE,AJMAL / YOUNIQUE,,1,475.00,130.00
FATIMA,AMBRE PIMENTE,AJMAL / AMBRE PIMENTE,,1,860.00,235.00
FATIMA,BLACK ROSE,AJMAL / BLACK ROSE,,1,640.00,175.00
FATIMA,MUSK SILK SUPREME,AJMAL / MUSK SILK SUPREME,,1,650.00,178.00
FATIMA,QIBLATUL WAFA,AJMAL / QIBLATUL WAFA,,1,2200.00,601.00
FATIMA,AL AMEERI,AL AMEERI / AL AMEERI,,1,970.00,265.00
FATIMA,MAGIC TOP,AL JAZEERA PERFUMES / MAGIC TOP,,1,900.00,246.00
FATIMA,DAMASCUS,AL JAZEERA PERFUMES / DAMASCUS,,1,540.00,148.00
FATIMA,BIN SHEIKH,AHMED AL MAGHRIBI / BIN SHEIKH,PB534,1,900.00,245.00
FATIMA,OUD & ROSES TOP,AHMED AL MAGHRIBI / OUD & ROSES TOP,PB0825,1,900.00,245.00
FATIMA,KAAF,AHMED AL MAGHRIBI / KAAF,S400217,1,500.00,137.00
FATIMA,O' CLOCK,AHMED AL MAGHRIBI / O' CLOCK,,1,750.00,205.00
FATIMA,SUMMER OUD,AHMED AL MAGHRIBI / SUMMER OUD,S40004,1,500.00,137.00
FATIMA,OYUNY,AHMED AL MAGHRIBI / OYUNY,S40002,1,350.00,96.00
FATIMA,ROSE NOIR,AHMED AL MAGHRIBI / ROSE NOIR,S40006,1,600.00,164.00
FATIMA,OUD & ROSES,AHMED AL MAGHRIBI / OUD & ROSES,,1,520.00,142.00
FATIMA,MARJ TOP,AHMED AL MAGHRIBI / MARJ TOP,S40003,1,850.00,232.00
FATIMA,OUD LAVENDER,AHMED AL MAGHRIBI / OUD LAVENDER,PB038,1,900.00,246.00
FATIMA,BIDUN ESAM,AHMED AL MAGHRIBI / BIDUN ESAM,PB580,1,900.00,246.00
FATIMA,TIFF TIFF,AHMED AL MAGHRIBI / TIFF TIFF,,1,540.00,148.00
