fatima ,,,,
,,,,
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
ACQUA DI PARMA,OUD,,$130,475
ACQUA DI PARMA,COLONIA IL PROFUMO,,$137,500
ACQUA DI PARMA,LEATHER,S-8942,$218,800
ACQUA DI PARMA,BUONGIORNO AL BACIO,PB901,$327,1200
ACQUA DI PARMA,OUD & SPICE,,$218,800
ACQUA DI PARMA,BUONGIORNO,S400122,$191,700
ALEZZ OUD,HERSH LAHAB  TOP,S400545,$301,1100
ABDUL SAMAD AL QURASHI,FURUSIYYA-PINK INCENSE,,$130,475
ABDUL SAMAD AL QURASHI,KHASHAB AL OUD (TOP),,$160,585
ABDUL SAMAD AL QURASHI,RUH AL OUD,,$355,1300
ABDUL SAMAD AL QURASHI,SAFARI EXTREME,,$130,475
ABDUL SAMAD AL QURASHI,CHARME D' ORIENT,,$145,530
A SCHLESSER,ANGEL SCHLESSER HOMME ORIENTAL EDITION,,$212,775
ABERCROMBIE & FITCH,FIRST INSTINCT BLUE,,$130,475
ABERCROMBIE & FITCH,FIRST INSTINCT FOR HER,,$130,475
ABERCROMBIE & FITCH,FIERCE,,$150,550
AERIN,HIBISCUS PALM,,$150,550
AKRO,CRUSH,S400116,$172,630
AF,GREEN TATERA,,$115,420
AF,MUSK TATERA,,$115,420
AF,FLOWER OXY,,$130,475
AF,CITRON OXY,,$130,475
ARGOS,TRIUMPH OF BACCHUS,S400435,$218,800
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
ARGOS,BIRTH OF VENUS TOP,IP44,$409,1500
AFNAN,AFNAN  9 PM NIGHT OUT,,$327,1200
AFNAN,9PM REBEL,S400196,$180,660
AFNAN,9AM,S400208,$137,500
AFNAN,SUPERMACY SILVER,PB5967,$177,650
AFNAN,9:00 PM,,$130,475
AJMAL,ALIF LAYLA O LAYLA,,$235,860
AJMAL,SONG OF OUD,PB984,$286,1050
AJMAL,AMBER AL OUD,,$415,1520
AJMAL,AMBER MUSK,,$130,475
AJMAL,AMBER POIVRE,,$130,475
AJMAL,AMBER SANTAL,,$130,475
AJMAL,AMBER SUPREME,,$161,590
AJMAL,AMBER WOOD TOP,S400364,$355,1300
AJMAL,ARISTOCRAT,,$145,530
AJMAL,AURUM,,$355,1300
AJMAL,CUIR MUSK,,$130,475
AJMAL,INCENCE WOOD (TOP),,$385,1410
AJMAL,INCENSE WOOD (MEDIUM),,$145,530
AJMAL,MIZYAAN,,$145,530
AJMAL,MUKHALLAT SHAMS,,$130,475
AJMAL,MUSK SUPREME,,$161,590
AJMAL,QAFIYA,,$139,510
AJMAL,SILK MUSK (TOP),MI4017,$246,900
AJMAL,TANAASUQ (MEDIUM),,$130,475
AJMAL,MUSK REJALI TOP,,$238,870
AJMAL,VIOLETTE MUSK,,$130,475
AJMAL,WISAL (TOP),,$139,510
AJMAL,YOUNIQUE,,$130,475
AJMAL,AMBRE PIMENTE,,$235,860
AJMAL,BLACK ROSE,,$175,640
AJMAL,MUSK SILK SUPREME,,$178,650
AJMAL,QIBLATUL WAFA,,$601,2200
AL AMEERI,AL AMEERI,,$265,970
