,,,,,,,
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
AL MAJED OUD,ELBRINCE,,ELBRINCE,250035,1.00KG,1000,$273
AKRO,CRUSH,,CRUSH,250397,1.00KG,700,$191
AKRO,BAKE,,BAKE,250167,1.00KG,850,$232
ABDUL SAMAD AL,FURUSIYYA-PINK INCENSE,,FURUSIYYA-PINK INCENSE,300001,1.00KG,275,$ 75
ABDUL SAMAD AL,KHASHAB AL OUD,,KHASHAB AL OUD,300002,1.00KG,385,$ 105
ABDUL SAMAD AL,RUH AL OUD,,RUH AL OUD,300003,1.00KG,1100,$ 301
ABDUL SAMAD AL,SAFARI EXTREME,,SAFARI EXTREME,240231,1.00KG,275,$ 75
ABDUL SAMAD AL,CHARME D' ORIENT,,CHARME D' ORIENT,300004,1.00KG,330,$ 90
"ABERCROMBIE &
FITCH",FIERCE,,FIERCE,240903,1.00KG,1100,$ 301
ABERCROMBIE & FITCH,FIRST INSTINCT BLUE,,FIRST INSTINCT BLUE,300005,1.00KG,275,$ 75
ABERCROMBIE & FITCH,FIRST INSTINCT FOR HER,,FIRST INSTINCT FOR HER,300006,1.00KG,275,$ 75
ACQUA DI PARMA,COLONIA II PROFUMO,,COLONIA II PROFUMO,250208,1.00KG,585,$ 160
ACQUA DI PARMA,BUONGIORNO,,BUONGIORNO,250306,1.00KG,600,$ 164
ACQUA DI PARMA,OUD & SPICE,LZ,ITALY IN THE NIGHT,233551,1.00KG,700,$ 191
ACQUA DI PARMA,OUD,,OUD,300007,1.00KG,275,$ 75
ARGOS,TRIUMPH OF BACCHUS ARGOS,,TRIUMPH OF BACCHUS ARGOS,240811,1.00KG,1000,$ 273
AFNAN,9PM NIGHT OUT,,9PM NIGHT OUT,250480,1.00KG,700,$ 191
AFNAN,9PM,,9PM,250081,1.00KG,700,$ 191
AFNAN,9PM REBEL,,9PM REBEL,250033,1.00KG,700,$ 191
AFNAN,9AM,,9AM,240839,1.00KG,450,$ 123
AFNAN,TURATHI BLUE,,TURATHI BLUE,240813,1.00KG,350,$ 96
AFNAN,SUPERMACY SILVER,,SUPERMACY SILVER,240318,1.00KG,450,$ 123
AF,FLOWER OXY,LZ,FLOWER OXY,339818,1.00KG,275,$ 75
AF,CITRON OXY,LZ,CITRON OXY,339816,1.00KG,275,$ 75
AF,GREEN TATERA,,GREEN TATERA,300008,1.00KG,220,$ 60
AF,MUSK TATERA,,MUSK TATERA,300009,1.00KG,220,$ 60
AJMAL,SONG OF OUD,,SONG OF OUD,240532,1.00KG,850,$ 232
AJMAL,1101 NIGHTS,LZ,AFRAH,554861,1.00KG,600,$ 164
AJMAL,AMBER WOOD TOP,,AMBER WOOD TOP,240801,1.00KG,1000,$ 273
AJMAL,AMBER WOOD,,AMBER WOOD,250489,1.00KG,350,$ 96
AJMAL,AURUM,,AURUM,240929,1.00KG,850,$ 232
AJMAL,AMBRE PIMENTE,LZ,BROWNSY,353631,1.00KG,660,$ 180
AJMAL,SILK MUSK TOP TOP,,SILK MUSK TOP TOP,240065,1.00KG,1100,$ 301
AJMAL,SILK MUSK,,SILK MUSK,240305,1.00KG,550,$ 150
AJMAL,BLACK ROSE,LZ,ROSE BLACK,338565,1.00KG,440,$ 120
AJMAL,ALIF LAYLA O LAYLA,,ALF LAYLA O LAYLA,3000010,1.00KG,660,$ 180
AJMAL,AMBER AL OUD,,AMBER AL OUD,3000011,1.00KG,1320,$ 361
AJMAL,AMBER MUSK,,AMBER MUSK,3000012,1.00KG,275,$ 75
AJMAL,AMBER POIVRE,,AMBER POIVRE,3000013,1.00KG,275,$ 75
AJMAL,AMBER SANTAL,,AMBER SANTAL,3000014,1.00KG,275,$ 75
AJMAL,AMBER SUPREME,,AMBER SUPREME,3000015,1.00KG,390,$ 107
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
AJMAL,ARISTOCRAT,,ARISTOCRAT,3000017,1.00KG,330,$ 90
AJMAL,CUIR MUSK,,CUIR MUSK,3000018,1.00KG,275,$ 75
AJMAL,INCENCE WOOD,,INCENCE WOOD,3000019,1.00KG,1210,$ 331
AJMAL,INCENSE WOOD,,INCENSE WOOD,3000020,1.00KG,330,$ 90
AJMAL,MIZYAAN,,MIZYAAN,3000021,1.00KG,330,$ 90
AJMAL,MUKHALLAT SHAMS,,MUKHALAT SHAMS,3000022,1.00KG,275,$ 75
AJMAL,MUSK SUPREME,,MUSC SUPREME,3000023,1.00KG,390,$ 107
AJMAL,QAFIYA,,QAFIYA,3000024,1.00KG,310,$ 85
AJMAL,TANAASUQ,,TANAASUQ,3000025,1.00KG,1100,$ 301
AJMAL,TANAASUQ,,TANAASUQ,3000026,1.00KG,275,$ 75
AJMAL,VIOLETTE MUSK,,VIOLETTE MUSK,3000027,1.00KG,275,$ 75
AJMAL,WISAL TOP,,WISAL TOP,240392,1.00KG,330,$ 90
AJMAL,YOUNIQUE,,YOUNIQUE,3000028,1.00KG,275,$ 75
AJMAL,MUSK SILK SUPREME,,MUSK SILK SUPREME,3000029,1.00KG,450,$123
AL AMEERI,AL AMEERI,,AL AMEERI,3000030,1.00KG,770,$ 210
AL JAZEERA,ONXY,LZ,BLACK GEMSTONE,702567-D,1.00KG,450,$ 123
AL JAZEERA,DAMASCUS,LZ,OUDSSAYA,343661-H,1.00KG,420,$ 115
AL JAZEERA,VENICE,LZ,PIAZZA SAN MARCO,461944-A,1.00KG,500,$ 137
AL JAZEERA,WISTERIA TOP,LZ,BLUE RAIN,680021-T,1.00KG,930,$ 254
AL JAZEERA,VENICE TOP,LZ,PIAZZA SAN MARCO,461944-T,1.00KG,800,$ 219
AL JAZEERA,MAGIC,LZ,HOUDINI,503629,1.00KG,700,$ 191
AL TEEB,LORA DAR,LZ,LO YS,693067,1.00KG,750,$ 205
AL TEEB,JULIET DAR,LZ,LIET YS,261067,1.00KG,700,$ 191
AL TEEB,WARDE-DAR,LZ,PASSION YS,339927,1.00KG,450,$ 123
ALEXANDRE . J,MANDARINE SULTANE,LZ,ALHAMBRA GARDEN,343622-A,1.00KG,390,$ 107
ALEXANDRE . J,MANDARINE SULTANE NO,LZ,ALHAMBRA GARDEN,343622,1.00KG,500,$ 137
ALEXANDRE . J,MORNING MUSCS,LZ,FRESH DEWDROP,461305-B,1.00KG,330,$ 90
ALEXANDRE . J,THE COLLECTOR BLACK,,THE COLLECTOR BLACK,3000031,1.00KG,275,$ 75
ALEXANDRE . J,THE COLLECTOR ZAFEER OUD,,THE COLLECTOR ZAFEER OUD,3000032,1.00KG,275,$ 75
ALEXANDRE. J,ROSE OUD,,ROSE OUD,3000033,1.00KG,275,$ 75
ALEXANDRE.J,ALTESSE,LZ,SAVOY OF INDIA,461250-B,1.00KG,390,$ 107
AMOUAGE,ENCLAVE,,ENCLAVE,250416,1.00KG,1500,$ 409
AMOUAGE,LINE 618 ESSENCE DE PARFUME,,LINE 618 ESSENCE DE PARFUME,250408,1.00KG,850,$ 232
AMOUAGE,SINDABAD,,SINDABAD,250401,1.00KG,1100,$ 383
AMOUAGE,SEQUENCE,,SEQUENCE,250402,1.00KG,1500,$ 409
AMOUAGE,OPUS XVI TIMBER,,OPUS XVI TIMBER,250257,1.00KG,850,$ 232
AMOUAGE,RECEPTION,,RECEPTION,250225,1.00KG,1600,$ 437
AMOUAGE,LOVE TUBEROSE,,LOVE TUBEROSE,250183,1.00KG,1100,$ 301
AMOUAGE,DECISION,,DECISION,250161,1.00KG,1200,$ 327
AMOUAGE,EXISTENCE,,EXISTENCE,250162,1.00KG,1900,$ 519
AMOUAGE,SEARCH,,SEARCH,250036,1.00KG,1500,$ 409
