id,fragrance_id,warm,fresh,sweet,dark,woody,floral,spicy,fruity,green,aquatic,marine,leather,powdery,resinous,smoky,gourmand,citrus,aromatic,amber,musky,luxury,projection,longevity,confidence_score,generation_method,review_status,provenance_references,source_fingerprint,rejection_reason
1,1,0.8,0.4,0.0,0.96,1.0,0.56,0.0,0.0,0.56,0.0,0.0,0.96,0.56,0.0,0.0,0.0,0.56,0.4,0.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,1,4eadf4338e8239d296e20896befb583d037729a9f7b75b9fd5154b31517b367e,
2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,2,ea8e0d867373d2229dbb77cf4e759ebe1e4dd3cf01b2a915f9536bfefcb9dad4,
3,3,0.0,0.8,0.4,0.0,0.56,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.56,0.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,3,26663e23ee026b1a2899733b4122b199d7960fea90e70ede7d3d7d9f7c8063e6,
4,4,1.0,0.0,0.0,1.0,1.0,0.56,0.56,0.0,0.0,0.0,0.0,0.96,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,4,2c6589e6ea06a11aae03d08aea5caddf119cf6ae2c3d9474b0620edadbc90091,
5,5,0.4,1.0,0.56,0.0,0.96,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,5,944ff5ade325d805abe818125a23946abd8349bc72210dd961445cdc1d05f451,
6,6,1.0,0.0,0.56,0.56,0.96,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.56,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,6,a0de00388a5d2ce7c1f17baf928fe67cae6ee7540f2cf94783a73e9afc490d7f,
7,7,1.0,0.0,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,7,034ca8acc98e5a20c0d4e14dd7f64c62b652e8c1c8d25a3fdcd7ff9ddcae22ce,
8,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.56,0.0,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,8,505d425b68f81ae712dc286fe1c658940261bd64ac1b6a3213616ba080dd778c,
9,9,1.0,0.0,0.0,1.0,1.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,9,e2ef6e80232ef4e830829c9cc686000d550aa4afc05cec6e2db94347bdc6500c,
10,10,0.8,0.4,0.0,0.96,1.0,0.56,0.0,0.0,1.0,0.0,0.0,0.96,0.56,0.0,0.4,0.0,0.56,0.0,0.0,0.0,0.4,0.0,0.0,1.0,public_catalogue_keyword_v2,approved,10,25eed286151afe139c5f33865abf998ec6eff19ad1f518a8010724bd6052cf7b,
